Geography,Geographic area,Geographic area,Total population
Alabama,"Alabama - Linden CCD, Marengo County","Linden CCD, Marengo County",4762
Alabama,"Alabama - Lineville CCD, Clay County","Lineville CCD, Clay County",5324
Alabama,"Alabama - Lisman CCD, Choctaw County","Lisman CCD, Choctaw County",3184
Alabama,"Alabama - Little Texas-Society Hill CCD, Macon County","Little Texas-Society Hill CCD, Macon County",1403
Alabama,"Alabama - Littleville CCD, Colbert County","Littleville CCD, Colbert County",8299
Alabama,"Alabama - Livingston CCD, Sumter County","Livingston CCD, Sumter County",5764
Alabama,"Alabama - Loachapoka-Roxana CCD, Lee County","Loachapoka-Roxana CCD, Lee County",7236
Alabama,"Alabama - Locust Fork CCD, Blount County","Locust Fork CCD, Blount County",8731
Alabama,"Alabama - Logan CCD, Cullman County","Logan CCD, Cullman County",4007
Alabama,"Alabama - Long Island CCD, Jackson County","Long Island CCD, Jackson County",6749
Alabama,"Alabama - Lookout Mountain CCD, Etowah County","Lookout Mountain CCD, Etowah County",2953
Alabama,"Alabama - Louisville CCD, Barbour County","Louisville CCD, Barbour County",1638
Alabama,"Alabama - Lowndesboro CCD, Lowndes County","Lowndesboro CCD, Lowndes County",905
Alabama,"Alabama - Luverne CCD, Crenshaw County","Luverne CCD, Crenshaw County",6989
Alabama,"Alabama - Lyeffion CCD, Conecuh County","Lyeffion CCD, Conecuh County",1808
Alabama,"Alabama - Lynn CCD, Winston County","Lynn CCD, Winston County",2158
Alabama,"Alabama - McCullough-Huxford CCD, Escambia County","McCullough-Huxford CCD, Escambia County",5744
Alabama,"Alabama - McIntosh CCD, Washington County","McIntosh CCD, Washington County",4589
Alabama,"Alabama - Madison CCD, Madison County","Madison CCD, Madison County",39245
Alabama,"Alabama - Madison Crossroads CCD, Madison County","Madison Crossroads CCD, Madison County",12763
Alabama,"Alabama - Madrid CCD, Houston County","Madrid CCD, Houston County",7294
Alabama,"Alabama - Manchester CCD, Walker County","Manchester CCD, Walker County",5071
Alabama,"Alabama - Mantua-West Greene CCD, Greene County","Mantua-West Greene CCD, Greene County",1814
Alabama,"Alabama - Maplesville CCD, Chilton County","Maplesville CCD, Chilton County",2902
Alabama,"Alabama - Marbury CCD, Autauga County","Marbury CCD, Autauga County",5675
Alabama,"Alabama - Marion CCD, Perry County","Marion CCD, Perry County",4760
Alabama,"Alabama - Maytown-Sylvan Springs CCD, Jefferson County","Maytown-Sylvan Springs CCD, Jefferson County",3829
Alabama,"Alabama - Midway CCD, Bullock County","Midway CCD, Bullock County",1434
Alabama,"Alabama - Millerville-Hollins CCD, Clay County","Millerville-Hollins CCD, Clay County",2480
Alabama,"Alabama - Millport CCD, Lamar County","Millport CCD, Lamar County",4162
Alabama,"Alabama - Millry CCD, Washington County","Millry CCD, Washington County",2775
Alabama,"Alabama - Milltown CCD, Chambers County","Milltown CCD, Chambers County",1082
Alabama,"Alabama - Mineral Springs CCD, Chilton County","Mineral Springs CCD, Chilton County",3808
Alabama,"Alabama - Mobile CCD, Mobile County","Mobile CCD, Mobile County",236809(r38172)
Alabama,"Alabama - Monroeville CCD, Monroe County","Monroeville CCD, Monroe County",9865
Alabama,"Alabama - Montevallo CCD, Shelby County","Montevallo CCD, Shelby County",10134
Alabama,"Alabama - Montgomery CCD, Montgomery County","Montgomery CCD, Montgomery County",189183
Alabama,"Alabama - Moody CCD, St. Clair County","Moody CCD, St. Clair County",25023
Alabama,"Alabama - Mooresville CCD, Limestone County","Mooresville CCD, Limestone County",9438
Alabama,"Alabama - Morris Chapel CCD, Lawrence County","Morris Chapel CCD, Lawrence County",11552
Alabama,"Alabama - Mosses CCD, Lowndes County","Mosses CCD, Lowndes County",1861
Alabama,"Alabama - Moulton CCD, Lawrence County","Moulton CCD, Lawrence County",7783
Alabama,"Alabama - Moundville CCD, Hale County","Moundville CCD, Hale County",3534
Alabama,"Alabama - Mountainboro CCD, Etowah County","Mountainboro CCD, Etowah County",9378
Alabama,"Alabama - Mount Hope CCD, Lawrence County","Mount Hope CCD, Lawrence County",1942
Alabama,"Alabama - Mount Meigs CCD, Montgomery County","Mount Meigs CCD, Montgomery County",8677
Alabama,"Alabama - Mount Vernon CCD, Mobile County","Mount Vernon CCD, Mobile County",4942
Alabama,"Alabama - Munford CCD, Talladega County","Munford CCD, Talladega County",10201
Alabama,"Alabama - Nauvoo CCD, Walker County","Nauvoo CCD, Walker County",3851
Alabama,"Alabama - Needmore CCD, Pike County","Needmore CCD, Pike County",1668
Alabama,"Alabama - Newbern CCD, Hale County","Newbern CCD, Hale County",1562
Alabama,"Alabama - New Hope CCD, Madison County","New Hope CCD, Madison County",13968
Alabama,"Alabama - New Market CCD, Madison County","New Market CCD, Madison County",14871
Alabama,"Alabama - New Site CCD, Tallapoosa County","New Site CCD, Tallapoosa County",2507
Alabama,"Alabama - Newton-Midland City CCD, Dale County","Newton-Midland City CCD, Dale County",9526
Alabama,"Alabama - Northeast Fayette CCD, Fayette County","Northeast Fayette CCD, Fayette County",1469
Alabama,"Alabama - North Johns CCD, Jefferson County","North Johns CCD, Jefferson County",4918
Alabama,"Alabama - Northport CCD, Tuscaloosa County","Northport CCD, Tuscaloosa County",30007
Alabama,"Alabama - Notasulga CCD, Macon County","Notasulga CCD, Macon County",3156
Alabama,"Alabama - Oakland CCD, Lauderdale County","Oakland CCD, Lauderdale County",4023
Alabama,"Alabama - Oakman CCD, Walker County","Oakman CCD, Walker County",3557
